tracking_number	date_time	activity_code	city	state	zip_code	latitude	longitude	closest_station_wban
1Z0R544VNT23620611	2015-09-29 20:43:00-07	T	KANSAS CITY	MO	64999	39.099400	-94.578300	13988
1Z0R544VNT23620611	2015-09-30 10:29:00-07	DL	EKRON	KY	40117	37.898200	-86.129600	13807
1Z0R544VNT23620611	2015-09-30 01:45:00-07	T	LOUISVILLE	KY	40201	38.254500	-85.759500	93821
1Z0R544VNT23620611	2015-09-30 01:57:00-07	T	LOUISVILLE	KY	40201	38.254500	-85.759500	93821
1Z0R544VNT23620611	2015-09-30 04:52:00-07	OD	LOUISVILLE	KY	40201	38.254500	-85.759500	93821
1Z0R544VNT23620611	2015-09-29 22:14:00-07	T	LOUISVILLE	KY	40201	38.254500	-85.759500	93821
1Z9772030310210250	2015-10-30 04:39:00-07	OD	SAN BERNARDINO	CA	92401	34.104000	-117.293000	23122
1Z9772030310210250	2015-10-29 21:23:00-07	T	SAN BERNARDINO	CA	92401	34.104000	-117.293000	23122
438954270044174	2015-07-29 22:21:00-07	T	PERRYSBURG	OH	43551	41.536200	-83.564200	04848
438954270044174	2015-07-30 05:06:00-07	OD	LAKE ORION	MI	48359	42.725600	-83.272600	94817
438954270044174	2015-07-30 04:57:00-07	T	LAKE ORION	MI	48359	42.725600	-83.272600	94817
438954270044174	2015-07-30 04:55:00-07	T	LAKE ORION	MI	48359	42.725600	-83.272600	94817
438954270044174	2015-07-30 09:36:57-07	DL	NEW BALTIMORE	MI	48047	42.675400	-82.777600	14804
438954270044174	2015-07-30 01:45:12-07	T	PERRYSBURG	OH	43551	41.536200	-83.564200	04848
438954270044174	2015-07-29 17:02:00-07	T	SALINE	MI	48176	42.144400	-83.817300	94889
438954270044174	2015-07-29 19:02:42-07	T	SALINE	MI	48176	42.144400	-83.817300	94889
565094241949	2015-08-27 21:26:00-07	T	MEMPHIS	TN	37501	35.149600	-90.048700	13893
565094241949	2015-08-27 18:15:00-07	T	ORLANDO	FL	32801	28.544600	-81.374500	12841
565094241949	2015-08-28 02:19:00-07	T	MEMPHIS	TN	37501	35.149600	-90.048700	13893
565094241949	2015-08-28 03:55:00-07	T	TALLAHASSEE	FL	32301	30.426100	-84.251700	93805
565094241949	2015-08-28 03:32:00-07	T	TALLAHASSEE	FL	32301	30.426100	-84.251700	93805
565094241949	2015-08-28 06:54:00-07	T	DOTHAN	AL	36301	31.146200	-85.412400	13839
565094241949	2015-08-28 07:25:00-07	OD	DOTHAN	AL	36301	31.146200	-85.412400	13839
640912357543	2015-06-29 20:00:00-07	T	ADDISON	TX	75001	32.959800	-96.838500	03970
640912357543	2015-06-30 03:08:00-07	T	INDIANAPOLIS	IN	46201	39.775700	-86.109600	93819
640912357543	2015-06-30 03:51:00-07	T	CLEVELAND	OH	44101	41.499500	-81.695900	04853
640912357543	2015-06-30 06:15:00-07	T	MANSFIELD	OH	44901	40.758400	-82.515600	14891
640912357543	2015-06-30 06:19:00-07	OD	MANSFIELD	OH	44901	40.758400	-82.515600	14891
640912357543	2015-06-29 23:39:00-07	T	INDIANAPOLIS	IN	46201	39.775700	-86.109600	93819
