wban	measurement_time	visibility	weather_type	dry_bulb_celsius	wet_bulb_celsius	dew_point_celsius	relative_humidity	wind_speed	wind_direction	station_pressure	record_type	hourly_precip	altimeter
03970	2015-06-29 19:47:00-07	13.00		88.0	76.0	70.0	55	13	200	29.27	AA		29.96
03970	2015-06-29 20:15:00-07	10.00		87.0	78.0	74.0	65	6	210	29.29	AA		29.98
93819	2015-06-29 23:54:00-07	10.00	-RA	65.0	64.0	63.0	93	7	250	28.96	AA	0.005	29.82
14891	2015-06-30 05:52:00-07	10.00		64.0	62.0	60.0	87	8	200	28.47	AA		29.86
14891	2015-06-30 06:25:00-07	10.00		65.0	63.0	61.0	87	8	190	28.48	SP		29.87
14891	2015-06-30 05:52:00-07	10.00		64.0	62.0	60.0	87	8	200	28.47	AA		29.86
14891	2015-06-30 06:25:00-07	10.00		65.0	63.0	61.0	87	8	190	28.48	SP		29.87
04853	2015-06-30 03:53:00-07	8.00		65.0	63.0	61.0	87	7	190	29.17	AA		29.79
93819	2015-06-30 02:54:00-07	9.00	-RA	65.0	63.0	62.0	90	9	210	28.95	AA	0.005	29.81
94889	2015-07-29 16:53:00-07	10.00		80.0	76.0	75.0	85	7	250	29.00	AA		29.90
94889	2015-07-29 18:53:00-07	10.00		73.0	65.0	60.0	64	9	290	29.03	AA		29.93
04848	2015-07-29 21:53:00-07	10.00		70.0	64.0	61.0	73	5	240	29.30	AA		29.97
94817	2015-07-30 04:53:00-07	10.00		68.0	63.0	59.0	73	7	250	28.90	AA		29.95
94817	2015-07-30 04:53:00-07	10.00		68.0	63.0	59.0	73	7	250	28.90	AA		29.95
94817	2015-07-30 04:53:00-07	10.00		68.0	63.0	59.0	73	7	250	28.90	AA		29.95
14804	2015-07-30 09:55:00-07	12.00		83.0	66.0	55.0	38	16	280	29.30	AA		29.92
04848	2015-07-30 01:53:00-07	10.00		66.0	61.0	58.0	76	6	250	29.29	AA		29.96
13893	2015-08-27 20:54:00-07	10.00		73.0	64.0	58.0	59	3		29.70	AA		30.06
12841	2015-08-27 17:53:00-07	10.00		77.0	74.0	73.0	88	7	130	29.83	AA		29.95
13893	2015-08-28 01:54:00-07	10.00		67.0	63.0	60.0	78	5		29.69	AA		30.05
93805	2015-08-28 03:53:00-07	10.00		75.0	72.0	71.0	87	7	100	29.91	AA		29.98
93805	2015-08-28 03:53:00-07	10.00		75.0	72.0	71.0	87	7	100	29.91	AA		29.98
13839	2015-08-28 06:53:00-07	10.00		78.0	73.0	70.0	77	8	80	29.70	AA		30.08
13839	2015-08-28 06:53:00-07	10.00		78.0	73.0	70.0	77	8	80	29.70	AA		30.08
93821	2015-09-29 21:56:00-07	8.00		68.0	66.0	65.0	90	10	360	29.38	AA		29.90
93821	2015-09-29 22:06:00-07	8.00		68.0	66.0	65.0	90	9	10	29.38	SP		29.90
93821	2015-09-29 22:20:00-07	8.00		68.0	66.0	64.0	87	9	10	29.38	SP		29.90
13988	2015-09-29 20:54:00-07	10.00		65.0	59.0	55.0	70	6		29.30	AA		30.11
93821	2015-09-30 04:38:00-07	8.00	-RA	60.0	59.0	58.0	93	15	20	29.41	SP		29.94
93821	2015-09-30 04:51:00-07	8.00	-RA	61.0	59.0	57.0	87	10	30	29.42	SP		29.95
93821	2015-09-30 04:56:00-07	9.00	-RA	60.0	59.0	58.0	93	10	10	29.42	AA	0.010	29.95
93821	2015-09-30 05:04:00-07	9.00	-RA	60.0	59.0	58.0	93	8	10	29.44	SP		29.96
93821	2015-09-30 05:21:00-07	7.00	-RA	60.0	59.0	58.0	93	11	10	29.44	SP		29.96
93821	2015-09-30 01:56:00-07	8.00	-DZ	64.0	63.0	62.0	93	14	20	29.39	AA	0.005	29.91
93821	2015-09-30 01:56:00-07	8.00	-DZ	64.0	63.0	62.0	93	14	20	29.39	AA	0.005	29.91
13807	2015-09-30 09:58:00-07	10.00		60.0	58.0	57.0	90	9	10	29.16	AA	0.005	30.00
23122	2015-10-29 20:49:00-07	10.00		72.0	52.0	32.0	23	6	300	28.56	AA		29.79
